Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2002     4     8    18     3    44.93    35.962630  -120.515060     5.95     0.73     1.01         4.90        50.02   21220655
2002     4    10    17    21    23.24    35.997370  -120.559130     3.19     1.29     1.44         2.18        23.93   21220940
2002     4    10    17    25    59.52    35.997240  -120.558720     3.13     1.49     1.55         5.11        26.87   21220941
2002     4    11     2    31     9.47    35.997950  -120.559680     3.10     1.14     1.31         3.14        30.42   21220995
2002     4    13    16    29    54.58    36.002640  -120.558130     5.87     1.10     1.29         7.24        41.68   21221369
2002     4    16    23    15    10.24    35.886590  -120.430500     6.17     1.11     1.05        37.95        71.91   21221751
2002     4    18    22    57     2.23    35.979920  -120.540540     2.40     0.73     1.12         1.58        34.12   21222038
2002     4    19     0     4    33.52    35.979790  -120.539020     3.11     1.17     1.30         5.65        36.25   21222042
2002     4    21    12    10    59.14    35.971350  -120.521810    11.04     1.15     1.31        16.06        52.30   21222298
2002     4    25     1    13     4.57    35.926060  -120.473630     5.39     1.80     1.72         8.45        24.57   21222852
2002     4    29     3     3     9.55    35.961700  -120.513560     5.21     2.24     2.19        27.49        25.27   30505413
2002     5     4    14    20    48.66    35.971180  -120.526340     5.72     0.80     1.11         4.88        47.11   21224319
2002     5     4    20    10    27.84    35.926880  -120.474660     5.39     0.82     0.96         8.73        55.84   21224387
2002     5     8    19     3    24.28    35.808700  -120.364020     8.35     1.95     1.94        44.49        37.63   21224977
2002     5    26    21    48    16.88    35.926310  -120.473430     5.09     1.11     1.22         8.69        43.91   21227412
2002     5    27     5    26    29.15    35.926230  -120.473310     5.02     0.74     0.96         2.67        40.28   21227453
2002     5    29    14    34    18.74    35.984950  -120.458270    14.71     1.86     1.22        31.24        36.15   21227791
2002     6     3     8    53    41.56    35.998380  -120.560130     3.29     1.25     1.54         3.88        29.83   21228513
2002     6     7    17    54     2.48    35.997180  -120.559090     3.32     1.20     1.29         1.83        24.33   21229183
2002     6    10     8    49    20.03    36.003330  -120.561300     5.47     1.00     1.11         3.76        36.44   21229600
2002     6    11    17    19    43.32    35.970020  -120.520350    11.04     2.26     2.36        55.39        31.19   21229845
2002     6    13     8    13    17.65    36.001400  -120.559160     4.72     1.60     1.56        18.21        37.53   21230238
2002     6    14    23    32    30.48    35.977590  -120.539520     2.72     0.73     1.09         2.37        38.96   21230688
2002     6    15    15    14    42.95    35.972800  -120.526970     7.27     1.86     1.89         5.05        19.68   21230778
